trail_name,osm_id,total_score,breakdown,distance_miles,surface,difficulty,highway_type,county,ref
Mountains-to-Sea Trail,84491756,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.62,ground,unknown,path,Unknown,nan
Rainbow Road,16430359,125,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.618,ground,hiking,path,Buncombe,nan
Ingles Field Gap,202318819,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",0.618,ground,hiking,path,Unknown,FS 150
Trail 725732022,725732022,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.618,ground,grade5,track,Unknown,nan
Seniard Ridge Trail,903828143,80,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.614,unpaved,grade4,track,Unknown,nan
Mountains-to-Sea Trail,588790613,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.613,ground,mountain_hiking,path,Unknown,nan
Hunt Camp Road,1135484881,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.611,gravel,grade3,track,Unknown,FS 5500A
Haywood Gap Trail,976238835,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.609,ground,mountain_hiking,path,Unknown,nan
West Ridge Trail,171709737,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.608,ground,mountain_hiking,path,Unknown,nan
Daniel Ridge Loop,1109808014,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.607,ground,unknown,path,Unknown,105
Trail 754997760,754997760,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",0.606,gravel,grade2,track,Madison,FS 3506
Fawn Lake Loop Road,267229651,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.605,ground,grade4,track,Unknown,nan
Headwater Road,903836396,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.605,gravel,grade2,track,Unknown,FS 475B
Upper Wayehutta Creek,1160894021,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.603,ground,unknown,track,Unknown,nan
Little Bald Mountain Trail,376240377,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.599,ground,unknown,path,Unknown,nan
Mountains-to-Sea Trail,663589345,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.594,ground,mountain_hiking,path,Unknown,nan
Old Mitchell Trail,274850226,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.593,ground,demanding_mountain_hiking,path,Unknown,nan
White Pine Loop,294112192,90,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.592,dirt,grade4,path,Unknown,nan
Trail 957394513,957394513,60,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.587,unpaved,grade5,track,Unknown,nan
Mount Cammerer Trail,167432868,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.586,ground,unknown,path,Unknown,nan
Trail 1160719688,1160719688,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",0.586,ground,unknown,track,Unknown,FS 4650A
Rhododendron Ridge Trail,430789110,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.582,ground,mountain_hiking,path,Unknown,nan
Ferguson Cabin Trail,167432041,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.581,ground,unknown,path,Unknown,nan
Indian Creek Trail,1109766012,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.58,ground,unknown,track,Unknown,nan
Trail 668680066,668680066,100,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.578,ground,grade3,track,Unknown,nan
Buck Forest Road,172513225,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.577,gravel,grade2,track,Unknown,nan
Rainbow Road,543309865,105,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.574,ground,unknown,path,Buncombe,nan
Roberts Mountain Road,691676956,70,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.572,unpaved,unknown,track,Haywood,nan
Mt Hardy Trail,617192362,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.571,ground,mountain_hiking,path,Unknown,nan
Trail 1240865002,1240865002,80,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.571,unpaved,grade3,track,Unknown,nan
Trail 172852487,172852487,90,"{'surface': 40, 'difficulty': 25, 'trail_type': 10, 'length': 15, 'named': 0, 'forest_service': 0}",0.57,ground,hiking,footway,Unknown,nan
Memminger Trail Loop,326770104,60,"{'surface': 20, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",0.569,unpaved,unknown,footway,Unknown,nan
Mac's Gap Trail,570278647,90,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.567,dirt,grade4,path,Jackson,TR 482
Deep Gap Road,196194084,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.566,ground,grade4,track,Unknown,nan
Cosby Nature Trail,167431869,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.564,ground,unknown,path,Unknown,nan
Trail 725732023,725732023,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.564,ground,grade5,track,Unknown,nan
Camp Summit Road,162976928,75,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.56,gravel,unknown,track,Unknown,nan
Mountains-to-Sea Trail,663589325,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.56,ground,mountain_hiking,track,Unknown,nan
Appalachian Trail,30673784,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.559,ground,unknown,path,Unknown,TR 1-08
Boyd Logging Trail,478429570,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.558,ground,unknown,path,Unknown,nan
Grassy Fork Road,19435281,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.554,gravel,grade2,track,Cocke,nan
Fawn Lake Road,162987401,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.543,gravel,grade3,track,Unknown,nan
Heath Pine Ridge Trail,725732067,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.542,ground,mountain_hiking,path,Unknown,nan
Daniel Ridge Loop,1317304211,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.54,ground,unknown,path,Unknown,105
Trail 669412045,669412045,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",0.539,ground,unknown,path,Unknown,nan
Rocky Fork Trail,19639248,65,"{'surface': 20, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.537,unpaved,unknown,path,Unicoi,nan
East Ridge Trail,430789111,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.537,ground,mountain_hiking,path,Unknown,nan
Graybeard Trail,150615716,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.536,ground,mountain_hiking,path,Unknown,nan
Cove Hardwood Nature Trail,167431871,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.535,ground,unknown,path,Unknown,nan
Twin Falls Trail,268623900,90,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.535,dirt,mountain_hiking,path,Unknown,nan
Trail 478429562,478429562,70,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 0, 'forest_service': 0}",0.535,ground,unknown,footway,Unknown,nan
Wilson Boundary Road,945136763,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.531,ground,grade4,track,Yancey,nan
Sleepy Gap Trail,163002615,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",0.526,ground,mountain_hiking,footway,Unknown,TR 339
Smokemont Nature Trail,167434288,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.526,ground,unknown,path,Unknown,nan
Yellow Gap Road,840282101,80,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.526,gravel,grade1,track,Transylvania,NFD 1206
Trail 663589312,663589312,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.525,ground,grade4,track,Unknown,nan
Trail 953205137,953205137,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.525,gravel,grade2,track,Buncombe,nan
Trail 366164782,366164782,80,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",0.524,dirt,grade4,path,Unknown,nan
Bull Creek Tr,294685319,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.522,dirt,unknown,path,Unknown,nan
Corn Mill Shoals Trail,267242756,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.521,ground,unknown,path,Unknown,nan
Trail 16617170,16617170,60,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.518,unpaved,unknown,track,Henderson,nan
Mountains-to-Sea Trail,663589319,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.515,ground,mountain_hiking,path,Unknown,nan
Dodge Lake Tr,294113172,90,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.513,dirt,grade4,path,Unknown,nan
Slate Rock Connector,160844059,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.512,ground,unknown,path,Unknown,nan
Kuwohi Bypass Trail,167431848,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.512,ground,unknown,path,Unknown,nan
Trail 1310963981,1310963981,65,"{'surface': 35, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 0, 'forest_service': 0}",0.505,dirt,unknown,footway,Unknown,nan
Rattlesnake Trail,410475889,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.5,ground,mountain_hiking,path,Unknown,nan
Sunwall,817015147,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.497,ground,unknown,footway,Unknown,nan
Pete's Branch Trail,708519190,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.495,ground,unknown,path,Unknown,TR 12
Trail 977093004,977093004,70,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 0, 'forest_service': 0}",0.493,ground,unknown,path,Unknown,nan
Appalachian Trail,30670580,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.492,ground,unknown,path,Unknown,TR 1-08
Pilot Cove Road,404325084,105,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.491,ground,grade4,track,Unknown,FS 5014
Parker Knob Connector,1161197015,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.489,ground,unknown,track,Unknown,nan
Gum Springs Trail,636345142,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.486,ground,unknown,path,Unknown,TR 5
Pilot Rock Trail,178182542,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.484,ground,unknown,path,Unknown,321
Porters Creek Trail,1072666699,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.483,ground,unknown,path,Unknown,nan
Avery Creek,816523714,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.482,ground,unknown,path,Unknown,327
Trail 1354056977,1354056977,55,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.482,unpaved,unknown,track,Unknown,nan
Wesley Branch Trail,39799999,95,"{'surface': 40, 'difficulty': 25, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.481,ground,hiking,footway,Unknown,nan
Little Glassy Mountain Trail,326475497,55,"{'surface': 20, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.481,unpaved,unknown,footway,Unknown,nan
Streets Gap Road,495952152,90,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.481,gravel,grade2,track,Madison,nan
Old Mitchell Toll Road,374384283,115,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.479,ground,grade4,track,Buncombe,nan
Trail 668680067,668680067,95,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.478,ground,grade3,track,Unknown,nan
Trail 16647991,16647991,90,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 10}",0.477,gravel,grade2,track,Madison,FS 4681
Trail 503387712,503387712,65,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 0, 'forest_service': 0}",0.476,dirt,unknown,path,Unknown,nan
Trail 1241711574,1241711574,95,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.476,ground,grade3,track,Unknown,nan
Hog Rock Road,935712764,65,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.475,unpaved,unknown,track,Henderson,nan
Appalachian Trail,30673766,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.473,ground,unknown,path,Unknown,TR 1-08
Black Balsam Summit Trail,887652239,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.472,ground,unknown,path,Unknown,nan
Cascade Loop,319284443,60,"{'surface': 20, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.471,unpaved,unknown,path,Unknown,nan
Crab Creek Trail,1126587902,60,"{'surface': 25, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.471,gravel,unknown,footway,Unknown,nan
Ferguson Cabin Trail,167432045,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.467,ground,unknown,path,Unknown,nan
Trail 891375553,891375553,55,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.467,unpaved,unknown,track,Unknown,nan
Mountains-to-Sea Trail,860328535,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.466,ground,mountain_hiking,path,Unknown,nan
Trail 1113384137,1113384137,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.465,ground,unknown,track,Unknown,nan
Long Winding Road,16635097,65,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.464,unpaved,unknown,track,Jackson,nan
Pilot Connector,902827014,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.46,ground,unknown,path,Unknown,nan
Swinging Bridge Quiet Walkway,167434372,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.459,ground,unknown,path,Unknown,nan
Yellow Gap,178179378,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.455,ground,unknown,path,Unknown,611
Lower Staire,16427729,120,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.454,gravel,grade2,track,Buncombe,FS 231
Buck Forest Road,483799153,85,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.453,unpaved,grade2,track,Unknown,nan
Trail 1241711579,1241711579,95,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.452,ground,grade3,track,Unknown,nan
Bullhead View Quiet Walkway,167431781,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.451,ground,unknown,path,Unknown,nan
Trail 265685646,265685646,90,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 10, 'named': 0, 'forest_service': 0}",0.451,ground,grade3,path,Unknown,nan
Trail 366560957,366560957,45,"{'surface': 20, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 0, 'forest_service': 0}",0.45,unpaved,unknown,footway,Unknown,nan
Weatherford Trail,1218017348,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.448,ground,unknown,footway,Unknown,nan
Turkey Knob Trail,225350654,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.446,ground,unknown,path,Unknown,nan
Fawn Lake Road,267229652,90,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.445,gravel,grade2,track,Unknown,nan
Guion Parking,106595806,80,"{'surface': 25, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.444,gravel,grade4,track,Unknown,nan
Trail 691525363,691525363,60,"{'surface': 35, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 0, 'forest_service': 0}",0.442,dirt,unknown,footway,Unknown,nan
Lanning Ridge Road,628901568,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.44,gravel,grade2,track,Unknown,FS 5046
Trail 1182374618,1182374618,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.439,ground,unknown,track,Unknown,nan
Trail 1188153923,1188153923,70,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 0, 'forest_service': 0}",0.439,ground,unknown,path,Unknown,nan
Trail 16628369,16628369,75,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.438,unpaved,grade3,track,Unknown,nan
Trail 146689759,146689759,95,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.438,ground,grade3,track,Unknown,nan
Yellow Gap Road,481453254,75,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.435,gravel,grade1,track,Transylvania,NFD 1206
Trail 395622044,395622044,75,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.434,unpaved,grade3,track,Unknown,nan
Appalachian Trail,120104251,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.433,ground,unknown,path,Unknown,TR 1-08
Cliif Top Trail,106336037,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.431,ground,unknown,path,Unknown,nan
Round Knob Road,654623266,105,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.431,ground,grade3,track,Unknown,nan
Foster Creek Road,16597535,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.428,gravel,grade2,track,Unknown,FS 5026
Graybeard Trail,150634910,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.428,ground,mountain_hiking,path,Unknown,nan
Indian Flats Drive,693451584,85,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.427,unpaved,grade3,track,Unknown,nan
Trail 146689756,146689756,95,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.425,ground,grade3,track,Unknown,nan
Daniel Ridge Loop,1317304214,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.425,ground,unknown,path,Unknown,105
Headwater Road,903836405,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.424,gravel,grade2,track,Unknown,FS 475B
Appalachian Way,16424256,90,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.423,gravel,unknown,track,Buncombe,nan
Trail 1160887052,1160887052,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 10}",0.423,ground,unknown,track,Unknown,FS 4651E
Conleys Creek Road,275497545,90,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.422,gravel,grade2,track,Unknown,nan
Appalachian Trail,30673786,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.421,ground,unknown,path,Unknown,TR 1-08
Riverview Quiet Walkway,167434031,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.42,ground,unknown,path,Unknown,nan
Ivestor Gap Trail,453605919,95,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.42,unpaved,grade3,track,Unknown,FS 101
Trail 754997761,754997761,80,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.42,gravel,grade2,track,Madison,nan
Dam Pasture Trail,295320537,85,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.419,dirt,grade4,path,Unknown,nan
Little East Fork Trail,16586444,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.418,ground,unknown,footway,Haywood,TR 107
Riverside,112927494,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.418,ground,unknown,path,Unknown,115
Trail 945136769,945136769,85,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 0}",0.418,ground,grade4,track,Unknown,nan
Trail,16777120,70,"{'surface': 35, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.413,dirt,unknown,footway,Swain,nan
Trail 313876281,313876281,50,"{'surface': 20, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 0, 'forest_service': 0}",0.409,unpaved,unknown,path,Unknown,nan
Art Loeb Spur Trail,453612419,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.409,ground,mountain_hiking,path,Unknown,TR 108
Shumont Mountain Fire Road,1092100536,90,"{'surface': 35, 'difficulty': 25, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",0.408,dirt,grade2,footway,Unknown,nan
Appalachian Trail,30671412,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.407,ground,unknown,path,Unknown,TR 1-08
Dam Pasture Road,294239261,85,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.403,dirt,grade4,path,Unknown,nan
Trail 609065420,609065420,60,"{'surface': 35, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 0, 'forest_service': 0}",0.402,dirt,unknown,footway,Unknown,nan
Homestead Trail,99868527,100,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.401,ground,hiking,path,Unknown,nan
Wilson Boundary Road,18940854,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.4,ground,grade4,track,Yancey,nan
Camp Alice Trail,146253914,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.4,ground,demanding_mountain_hiking,path,Unknown,nan
Pilot Rock Trail,178182541,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",0.4,ground,unknown,path,Unknown,nan
Washboard Road,1078932029,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",0.399,ground,unknown,track,Unknown,nan
Big Clifty Road,754727151,80,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",0.398,gravel,unknown,track,Cocke,FS 404
